isin,symbol,name
LU0478205379,D5BG.DE,Xtrackers II EUR Corporate Bond UCITS ETF 1C
IE00BZ163G84,VECP.DE,Vanguard EUR Corporate Bond UCITS ETF
IE00BGYWT403,VECA.DE,Vanguard EUR Corporate Bond UCITS ETF EUR Accumulation
IE00BF59RX87,JREB.DE,JPMorgan ETFs Ireland ICAV - JPM EUR IG Corporate Bond Active UCITS ETF - EUR (acc)
LU2089238625,PRAC.DE,Amundi Core Eur Corporate Bond UCITS ETF DR - EUR (C)
DE000A0H0744,EXXW.DE,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE)
IE00BJXRT813,WVAL.L,State Street SPDR MSCI World Value UCITS ETF
IE00BLSNMW37,BBCK.DE,Invesco Global Buyback Achievers UCITS ETF
IE00BYQCZJ13,WTIF.DE,WisdomTree Japan Equity UCITS ETF - EUR Hedged Acc
LU2244386137,ASRG.DE,BNP Paribas Easy € High Yield SRI Fossil Free
IE00B3F81R35,EUN5.DE,iShares Core € Corp Bond UCITS ETF EUR (Dist)
IE00B6R52259,IUSQ.DE,iShares MSCI ACWI UCITS ETF USD Acc
IE000J80JTL1,GRID.DE,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF
LU0832436512,LGQI.DE,Amundi Global Equity Quality Income UCITS ETF Dist
IE00BK5BQT80,VWCE.DE,Vanguard FTSE All-World UCITS ETF USD Accumulation
IE00B3RBWM25,VGWL.DE,Vanguard FTSE All-World UCITS ETF
IE00BF1B7389,SPP1.DE,State Street SPDR MSCI All Country World EUR Hdg UCITS ETF (Acc)
FR0014003IY1,WLDC.MI,Amundi MSCI World Swap II UCITS ETF Acc
DE000A0H08K7,EXH5.DE,iShares STOXX Europe 600 Insurance UCITS ETF (DE)
IE00BYSX4739,FYEQ.DE,Fidelity Emerging Markets Quality Income UCITS ETF USD Inc
GB00B15KXX56,SBUL.MI,WisdomTree Gold 1x Daily Short ETP Securities
